sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,25.323145123653767,25.81961824153515,27.394089863013328,35.216405244784546,37.32833890919396,38.86556946357289,43.198923662793824,47.7088459724346,55.12414346304109,56.347809842555904,55.03226982565366,56.540613677554305,51.46150115560443,54.20486976067349
2,90.95448631806612,97.60309380104304,101.66341830758158,126.74317108468611,133.39295990828882,139.7249531393228,155.30372171981978,171.5172673354876,198.1758782522844,202.57506061075009,197.84558488836677,203.2682064254662,185.0083746794282,194.87101287250627
3,140.97309467080794,142.43549182995997,152.5398842928777,196.16022042154063,206.58269328989462,216.54642820067966,240.69048132845404,265.8183150665035,307.13396302430084,313.9518377512245,306.6220727240519,315.02607858671337,286.72690041338313,302.0120662006072
4,185.46490083002303,189.7261101383513,202.66872648683085,260.6086660611106,273.7610035147512,283.0095832611357,314.5640100448174,347.4041626788296,401.40054769361285,410.31098736803295,400.7315463078472,411.71493779889414,374.73008107318213,394.7066211411198
5,5.518431194447708,5.649422593090494,6.012201854517628,7.693029897058045,8.091564305684926,8.482317848609972,9.428062068384017,10.412341857176635,12.030712850460977,12.297775119584058,12.010661648201905,12.339854096772859,11.231349901551598,11.830083557208019
6,75.55082675446788,76.44944479068546,84.01416274821602,101.81771387337538,107.2189368912775,112.39662054396858,124.92839029119806,137.9707831730152,159.41532624226065,162.95408735213312,159.14963384402864,163.51166311342612,148.8232103077937,156.75684834197153
7,99.35027403842341,106.96242483287274,110.42543812365781,138.71623617754278,145.8649941973702,152.68873723415118,169.71291544122704,187.43076576446975,216.56278224289724,221.37012398168537,216.2018440173312,222.12758037576702,202.17358798737405,212.95128901831893
8,58.66083413778938,59.21222315114459,63.34493379186408,81.31989088745017,85.62266673554194,89.74557654982691,99.75184627316636,110.16583437265865,127.2887057924818,130.11430815081403,127.0765577995187,130.5595168939708,118.83119571058853,125.16598510255602
9,169.42267416389421,172.92079755056338,183.52292913968364,230.61043880151868,242.77272555472115,254.10124987649098,282.43251411312093,311.9181722815847,360.3990355900493,368.3993083445237,359.7983701060989,369.65985067364085,336.4528538920696,354.38886772233985
10,9.461169558998742,9.691589041353565,10.220326982197387,13.146555482462544,13.867786433250252,14.504220792165272,16.12138289588964,17.804438356992573,20.57174920635889,21.0284085989626,20.537462933443333,21.100360957592365,19.20488970981716,20.228685951874287
11,181.2837275298876,190.76361451691682,193.67434055705095,241.56989765554698,254.55122134182653,266.5791035557017,296.3015981379657,327.23517412832194,378.09673064037713,386.4898634570222,377.4665689771575,387.8123057679254,352.9746517299736,371.7914284697974
13,1.58037044208831,1.5963141294198981,1.7111360284388872,2.2004640380928793,2.3172652894227275,2.4291694389211127,2.7000120313250133,2.9818904547649665,3.4453601605561692,3.5218415556207296,3.4396178895624754,3.5338921492476643,3.216438292647773,3.387903866602
15,14.26847840577792,14.41303733160672,15.468435134257481,19.867034192774828,20.921581967134337,21.9319159357479,24.377236082316433,26.922193954720726,31.106660654867028,31.79717795692466,31.054816183791385,31.90597753350717,29.03982452463347,30.587912728603747
16,348.8356178660771,355.28164832477796,381.8780062112749,486.0131951891843,510.9981992162009,534.8333465978322,594.465107057056,656.5266405699543,758.5693592965304,775.4083660037023,757.3050761372655,778.0615606366986,708.1673384406889,745.9191334677939
17,118.46441634019169,119.84780932114444,128.26411914919714,164.92450976903893,173.74263728305786,182.05454359543359,202.35289074086606,223.4783202422157,258.21314129101097,263.9450532972005,257.782785751291,264.8481872192953,241.05655043599543,253.90706893355653
